# γ_seg(r) Profile - G79.29+0.46
# Fitted to temperature data from: G79_temperatures.csv
#
# Model: γ_seg(r) = 1 - α exp[-(r/r_c)²]
#        T(r) = T₀ / γ_seg(r)
#
# Best-fit parameters:
#   α  = 0.0000 ± 7552.5107
#   r_c = 0.100 ± 0.000 pc
#   T₀ = 240.0 K
#
# Paper reference values:
#   α (paper)  = 0.120 ± 0.030
#   r_c (paper) = 1.90 pc
#
# Deviation: α = 4.00σ, r_c = 9.47σ
# χ²_red = 50035.000
#
# Date: 2025-11-07 12:26:27.555759
#
radius_pc,T_data_K,T_fit_K,gamma_seg,residual_K
0.3,78,240.00000000000284,0.9999999999999881,-162.00000000000284
0.45,65,240.0,1.0,-175.0
0.6,55,240.0,1.0,-185.0
0.75,45,240.0,1.0,-195.0
0.9,38,240.0,1.0,-202.0
1.1,32,240.0,1.0,-208.0
1.3,28,240.0,1.0,-212.0
1.5,25,240.0,1.0,-215.0
1.7,22,240.0,1.0,-218.0
1.9,20,240.0,1.0,-220.0
